Episode,Agent ID,Total Reward
1,0,-674
1,1,-395
1,2,-641
1,3,-556
2,0,-68
2,1,-265
2,2,-202
2,3,-247
3,0,-211
3,1,-313
3,2,-193
3,3,-229
4,0,-207
4,1,-149
4,2,-269
4,3,-144
5,0,-141
5,1,-256
5,2,-164
5,3,-170
6,0,-360
6,1,-267
6,2,-276
6,3,-324
7,0,-151
7,1,-128
7,2,-219
7,3,-263
8,0,-491
8,1,-262
8,2,-106
8,3,-110
9,0,-58
9,1,-300
9,2,-386
9,3,-304
10,0,-83
10,1,-213
10,2,-64
10,3,-231
11,0,-542
11,1,-330
11,2,-511
11,3,-461
12,0,-10
12,1,-99
12,2,-389
12,3,-349
13,0,-363
13,1,-381
13,2,-544
13,3,-213
14,0,-246
14,1,-420
14,2,-41
14,3,-516
15,0,-455
15,1,-585
15,2,-414
15,3,-184
16,0,-291
16,1,-23
16,2,-19
16,3,-123
17,0,-186
17,1,-308
17,2,-367
17,3,-130
18,0,-275
18,1,-218
18,2,-169
18,3,-242
19,0,-620
19,1,-407
19,2,-221
19,3,-799
20,0,-85
20,1,-179
20,2,-372
20,3,-97
21,0,-267
21,1,-626
21,2,-492
21,3,-164
22,0,-622
22,1,-309
22,2,-120
22,3,-107
23,0,-122
23,1,-160
23,2,-379
23,3,-290
24,0,-79
24,1,-198
24,2,-71
24,3,-495
25,0,-263
25,1,-481
25,2,-509
25,3,-445
26,0,-331
26,1,-113
26,2,-25
26,3,-181
27,0,-307
27,1,-424
27,2,-367
27,3,-462
28,0,-59
28,1,-121
28,2,-313
28,3,-149
29,0,-556
29,1,-154
29,2,-192
29,3,-166
30,0,-108
30,1,-511
30,2,-272
30,3,-230
31,0,-609
31,1,-388
31,2,-649
31,3,-721
32,0,-86
32,1,-35
32,2,-68
32,3,-141
33,0,-484
33,1,-505
33,2,-126
33,3,-119
34,0,-61
34,1,-97
34,2,-629
34,3,-214
35,0,-120
35,1,-270
35,2,-51
35,3,-480
36,0,-283
36,1,-85
36,2,-227
36,3,-135
37,0,-450
37,1,-543
37,2,-556
37,3,-326
38,0,-344
38,1,-181
38,2,-100
38,3,-107
39,0,-578
39,1,-150
39,2,-516
39,3,-622
40,0,-180
40,1,-471
40,2,-56
40,3,-104
41,0,-294
41,1,-261
41,2,-313
41,3,-309
42,0,-85
42,1,-149
42,2,-120
42,3,-50
43,0,-153
43,1,-70
43,2,-336
43,3,-584
44,0,-121
44,1,-358
44,2,-207
44,3,-74
45,0,-82
45,1,-206
45,2,-140
45,3,-17
46,0,-226
46,1,-127
46,2,-143
46,3,-285
47,0,-69
47,1,-381
47,2,-135
47,3,-282
48,0,-353
48,1,-167
48,2,-146
48,3,-87
49,0,-147
49,1,-175
49,2,-412
49,3,-56
50,0,-87
50,1,-228
50,2,-46
50,3,-168
51,0,-361
51,1,-53
51,2,-141
51,3,-491
52,0,-209
52,1,-76
52,2,-435
52,3,-41
53,0,-212
53,1,-431
53,2,-72
53,3,-302
54,0,-149
54,1,-22
54,2,-120
54,3,-61
55,0,-313
55,1,-277
55,2,-191
55,3,-192
56,0,-118
56,1,-226
56,2,-239
56,3,-277
57,0,-90
57,1,-169
57,2,-418
57,3,-374
58,0,-425
58,1,-188
58,2,-85
58,3,-137
59,0,-244
59,1,-178
59,2,-121
59,3,-183
60,0,-57
60,1,-209
