Episode,Total Reward
1,-672
2,-307
3,-133
4,-129
5,-94
6,-304
7,-129
8,-47
9,-307
10,-572
11,-141
12,-349
13,-209
14,-409
15,-117
16,-193
17,-197
18,-69
19,-829
20,-99
21,-52
22,-658
23,-45
24,-372
25,-310
26,-657
27,-108
28,-302
29,-178
30,-160
31,-102
32,-937
33,-182
34,-102
35,-357
36,-61
37,-580
38,-121
39,-363
40,-567
41,-220
42,-237
43,-44
44,-317
45,-64
46,-43
47,-149
48,-138
49,-506
50,-110
51,-90
52,-156
53,-272
54,-80
55,-262
56,-43
57,-155
58,-492
59,-42
60,-159
61,-413
62,-157
63,-116
64,-34
65,-210
66,-178
67,-414
68,-162
69,-277
70,-32
71,-371
72,-44
73,-52
74,-200
75,-366
76,-58
77,-79
78,-256
79,-272
80,-228
81,-152
82,-62
83,-38
84,-132
85,-130
86,-100
87,-200
88,-107
89,-224
90,-179
91,-233
92,-201
93,-73
94,-165
95,-185
96,-59
97,-110
98,-174
99,-105
100,-358
101,-165
102,-42
103,-142
104,-131
105,-104
106,-136
107,-254
108,-162
109,-154
110,-58
111,-261
112,-88
113,-87
114,-73
115,-303
116,-113
117,-98
118,-90
119,-236
120,-154
121,-34
122,-95
123,-159
124,-41
125,-155
126,-309
127,-79
128,-46
129,-119
130,-158
131,-136
132,-122
133,-171
134,-20
135,-56
136,-72
137,-170
138,-212
139,-314
140,-130
141,-59
142,-38
143,-28
144,-94
145,-240
146,-126
147,-135
148,-110
149,-119
150,-21
151,-168
152,-105
153,-182
154,-104
155,-246
156,-24
157,-52
158,-106
159,-239
160,-44
161,-97
162,-41
163,-238
164,-40
165,-133
166,-108
167,-125
168,-54
169,-188
170,-62
171,-114
172,-49
173,-215
174,-67
175,-143
176,-37
177,-140
178,-108
179,-21
180,-148
181,-76
182,-82
183,-136
184,-70
185,-161
186,-70
187,-255
188,-30
189,-113
190,-76
191,-60
192,-149
193,-122
194,-41
195,-145
196,-193
197,-43
198,-162
199,-105
200,-109
201,-111
202,-107
203,-90
204,-33
205,-135
206,-140
207,-68
208,-41
209,-66
210,-223
211,-88
212,-61
213,-146
214,-140
215,-81
216,-46
217,-184
218,-17
219,-61
220,-28
221,-70
222,-40
223,-172
224,-140
225,-38
226,-85
227,-85
228,-170
229,-102
230,-17
231,-60
232,-65
233,-115
234,-179
235,-72
236,-78
237,-66
238,-105
239,-61
240,-120
241,-121
242,-49
243,-64
244,-137
245,-65
246,-72
247,-40
248,-90
249,-85
250,-187
251,-26
252,-81
253,-82
254,-134
255,-72
256,-26
257,-79
258,-42
259,-84
260,-103
261,-25
262,-65
263,-67
264,-30
265,-49
266,-107
267,-275
268,-34
269,-132
270,-113
271,-10
272,-56
273,-57
274,-52
275,-129
276,-45
277,-121
278,-71
279,-64
280,-119
281,-115
282,-86
283,-18
284,-9
285,-49
286,-112
287,-166
288,-62
289,-63
290,-134
291,-103
292,-38
293,-69
294,-46
295,-25
296,-145
297,-20
298,-92
299,-100
300,-21
301,-52
302,-54
303,-172
304,-13
305,-77
306,-147
307,-27
308,-75
309,-110
310,-96
311,-87
312,-27
313,-24
314,-55
315,-39
316,-92
317,-129
318,-32
319,-238
320,-37
321,-44
322,-56
323,-79
324,-45
325,-50
326,-28
327,-49
328,-20
329,-209
330,-53
331,-94
332,-71
333,-47
